lecturerId,name,email,password,department
2001,Michael English,2001@ul.ie,pass123,CSIS
2002,Caoimhe Cahill,2002@ul.ie,pass123,CSIS
2003,Alan Walsh,2003@ul.ie,pass123,CSIS
2004,Sarah Keane,2004@ul.ie,pass123,CSIS
2005,Brian O'Donnell,2005@ul.ie,pass123,CSIS
2006,Emma Burke,2006@ul.ie,pass123,CSIS
2007,Patrick Hughes,2007@ul.ie,pass123,CSIS
2008,Laura Kavanagh,2008@ul.ie,pass123,CSIS
2009,Sean Fitzpatrick,2009@ul.ie,pass123,CSIS
2010,Jane Collins,2010@ul.ie,pass123,CSIS
2011,Mark Reilly,2011@ul.ie,pass123,CSIS
2012,Niamh Brennan,2012@ul.ie,pass123,CSIS
2013,Conor Daly,2013@ul.ie,pass123,CSIS
2014,Rachel Dunne,2014@ul.ie,pass123,CSIS
2015,Kevin Lynch,2015@ul.ie,pass123,CSIS
2016,Aoife Gallagher,2016@ul.ie,pass123,CSIS
2017,Eoin Murray,2017@ul.ie,pass123,CSIS
2018,Hannah O'Sullivan,2018@ul.ie,pass123,CSIS
2019,Liam Carroll,2019@ul.ie,pass123,CSIS
2020,Olivia Nolan,2020@ul.ie,pass123,CSIS
2021,Ciaran Byrne,2021@ul.ie,pass123,CSIS
2022,Michelle Doyle,2022@ul.ie,pass123,CSIS
2023,Shane McCarthy,2023@ul.ie,pass123,CSIS
2024,Fiona Kelly,2024@ul.ie,pass123,CSIS
2025,Declan White,2025@ul.ie,pass123,CSIS
2026,Grainne Brennan,2026@ul.ie,pass123,CSIS
2027,Ronan Foley,2027@ul.ie,pass123,CSIS
2028,Clodagh Finn,2028@ul.ie,pass123,CSIS
2029,Daniel Walsh,2029@ul.ie,pass123,CSIS
2030,Ella Roche,2030@ul.ie,pass123,CSIS
2031,Kieran Quinn,2031@ul.ie,pass123,CSIS
2032,Laura Byrne,2032@ul.ie,pass123,CSIS
2033,Owen Healy,2033@ul.ie,pass123,CSIS
2034,Siobhan Carey,2034@ul.ie,pass123,CSIS


